Data	Dia	Horário	Local	Nome do Evento	Organizador	Categoria	Link de Inscrição	Invite Only?	Descrição	Notas da Curadoria	Aprovado?	Publicar?
14/09/2026	Monday	08:00	TBD	LAVCA - Family Office Breakfast	LAVCA	VC / Family Office		No			SIM	SIM
14/09/2026	Monday	09:00	TBD	ABVCAP Experience - VC Day	ABVCAP	VC		No			SIM	SIM
14/09/2026	Monday	12:00	Itaim	VIP Founders Lunch	Beacon Founders, JP Morgan	Founders		No			SIM	SIM
15/09/2026	Tuesday	09:00	Itaim	Canary Summit	ABVCAP	VC / Summit		No			SIM	SIM
15/09/2026	Tuesday	18:00	Pinheiros	Atlantico Digital Transformation Report - Launch Cocktail	Atlantico	Research / Social		Yes	Invite only		SIM	SIM
16/09/2026	Wednesday	09:00	TBD	Cloud9 Capital AGM	Cloud9 Capital	VC / AGM		No			SIM	SIM
16/09/2026	Wednesday	09:00	TBD	Fintech Day	Vope Capital	Fintech		No			SIM	SIM
16/09/2026	Wednesday	09:00	TBD	AI Track	Alexia Ventures	AI		No			SIM	SIM
16/09/2026	Wednesday	09:30	TBD	Endeavor AGM	Endeavor	AGM		No			SIM	SIM
16/09/2026	Wednesday	12:00	Itaim	Tech Founders VIP Lunch	Beacon Founders	Founders		No			SIM	SIM
16/09/2026	Wednesday	19:00	TBD	Founders Cocktail	Across Capital	Social		No			SIM	SIM
17/09/2026	Thursday	08:00	Itaim	Tech Founders VIP Breakfast	Beacon Founders	Founders		No			SIM	SIM
17/09/2026	Thursday	09:00	TBD	Norte Day	Norte Ventures	VC		No			SIM	SIM
17/09/2026	Thursday	20:00	TBD	Norte Private Drinks	Norte Ventures	Social		Yes	Invite only		SIM	SIM
18/09/2026	Friday	12:00	TBD	Founders Retreat	Endeavor	Founders / Retreat		Yes	Invite only		SIM	SIM
